"0050 元大台灣50       年度 成交資訊"
"年度","成交股數","成交金額","成交筆數","最高價","日期","最低價","日期","收盤平均價",
"92","779,721,000","34,119,437,990","87,359","49.00","10/30","36.92","6/30","44.46",
"93","1,690,384,000","79,306,568,950","177,379","53.70","3/05","40.90","7/27","46.40",
"94","1,670,385,002","79,438,639,423","125,425","51.60","12/29","43.90","4/21","47.32",
"95","1,218,119,860","65,305,179,919","121,558","59.30","5/09","49.30","7/17","53.86",
"96","1,710,349,427","106,857,407,687","216,081","72.30","10/03","53.05","3/05","62.01",
"97","4,059,850,692","199,932,841,210","842,488","65.85","3/24","28.53","11/21","51.32",
"98","3,723,995,405","160,696,144,003","593,462","56.45","12/31","30.01","1/21","45.33",
"99","2,628,554,589","143,697,364,519","367,288","61.40","12/31","47.95","6/09","54.71",
"100","5,100,527,393","284,494,278,779","925,844","63.20","2/08","46.61","12/19","56.59",
"101","3,384,312,562","177,342,319,140","621,374","56.20","3/14","47.45","6/04","52.33",
"102","2,685,966,323","150,552,347,763","561,830","59.15","10/21","52.95","6/25","56.16",
"103","2,628,060,520","166,373,147,068","454,516","69.95","9/01","55.60","2/05","63.69",
"104","2,667,467,028","175,812,543,155","554,551","73.30","4/27","55.40","8/24","66.34",
"105","2,596,184,392","167,166,890,481","571,013","73.55","12/12","55.60","1/21","66.27",
"106","904,318,828","70,973,954,436","289,738","85.60","11/22","71.35","2/08","78.81",
"107","1,931,323,806","156,468,628,091","736,532","88.40","1/23","73.30","12/25","81.79",
"108","1,947,079,124","158,033,944,047","774,870","98.30","12/18","72.00","1/04","83.00",
"109","2,564,396,277","234,459,163,641","1,413,186","122.40","12/31","67.25","3/19","96.94",
"110","2,416,854,570","329,392,756,844","2,584,119","146.15","12/29","121.20","5/12","137.07",
"111","3,079,638,845","374,397,867,780","4,225,676","152.40","1/17","96.50","10/26","122.12",
"112","2,433,566,458","303,204,503,195","3,082,855","136.00","12/29","108.45","1/03","124.54",
"113","2,998,865,946","513,613,686,842","4,134,891","202.80","7/11","127.30","1/17","172.33",
"114","14,171,639,941","1,044,189,658,145","14,322,292","206.00","1/07","46.28","6/23","110.74",
""
"近年最高價","日期","近年最低價","日期",
"206.00","114/1/07","28.53","97/11/21",
"備註:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。",
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。",
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。",

