"95年0050 台灣50           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"95","1","53.25","50.35","52.02","7,675","6,335,005,100","121,775,000","18.49",
"95","2","53.30","51.45","52.37","5,425","3,583,806,834","68,424,002","11.09",
"95","3","54.50","50.40","51.92","6,054","3,167,337,715","61,000,134","10.33",
"95","4","57.05","52.65","54.99","5,617","3,015,159,258","54,822,371","9.51",
"95","5","59.30","52.70","55.69","12,857","6,875,623,650","123,456,100","19.91",
"95","6","54.30","49.40","51.36","20,335","9,722,209,640","189,277,000","25.37",
"95","7","53.55","49.30","51.48","13,466","5,840,700,598","113,442,020","14.88",
"95","8","54.90","51.20","53.24","12,457","7,897,588,981","148,318,060","20.34",
"95","9","57.15","54.05","55.78","10,078","7,343,983,760","131,641,200","19.56",
"95","10","58.20","52.90","56.48","10,328","4,272,613,217","75,642,140","12.19",
"95","11","56.30","52.90","54.38","8,304","2,659,232,158","48,900,148","7.91",
"95","12","57.75","54.65","56.39","8,962","4,591,919,008","81,421,685","12.62",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

