"106年0050 元大台灣50       月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"106","1","73.30","71.50","72.47","15,127","4,157,190,823","57,360,663","9.67",
"106","2","74.20","71.35","73.12","22,489","5,547,559,750","75,864,615","13.41",
"106","3","74.90","71.55","73.40","28,149","6,838,612,909","93,164,983","16.47",
"106","4","74.80","72.50","73.85","19,509","5,057,974,293","68,489,730","12.06",
"106","5","77.50","75.00","75.88","19,050","5,687,908,464","74,949,622","13.23",
"106","6","81.50","76.50","79.13","25,674","7,801,060,236","98,579,716","13.54",
"106","7","83.00","79.75","81.70","21,582","5,313,036,462","65,025,936","11.60",
"106","8","83.25","80.60","81.98","30,448","6,031,367,662","73,565,813","13.12",
"106","9","83.35","80.30","81.71","30,592","6,864,094,712","84,003,061","15.39",
"106","10","85.35","81.25","83.61","23,228","6,334,605,288","75,757,609","15.54",
"106","11","85.60","82.25","84.12","21,451","4,762,177,219","56,606,312","12.06",
"106","12","82.95","80.45","81.26","32,439","6,578,366,618","80,950,768","16.33",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

