"87年2330 台積電           月成交資訊"
"年度","月份","最高價","最低價","加權(A/B)平均價","成交筆數","成交金額(A)","成交股數(B)","週轉率(%)",
"87","1","120.00","100.00","110.58","142,185","42,601,033,237","385,232,943","9.43",
"87","2","173.00","125.50","150.65","560,530","255,669,489,192","1,697,104,724","41.58",
"87","3","169.00","143.00","156.83","359,156","147,820,628,029","942,493,292","23.09",
"87","4","164.00","138.00","148.94","238,982","88,544,022,533","594,473,373","14.56",
"87","5","147.00","121.00","137.46","184,892","65,635,299,334","477,456,310","11.69",
"87","6","120.00","69.50","88.06","337,255","79,204,281,825","899,426,497","22.03",
"87","7","81.00","70.50","75.76","233,250","55,129,734,309","727,623,996","17.82",
"87","8","79.00","61.50","69.71","202,161","38,077,904,786","546,206,980","9.03",
"87","9","68.00","56.50","62.74","190,480","35,977,012,817","573,342,183","9.48",
"87","10","68.00","58.50","63.23","122,957","22,697,644,317","358,946,120","5.93",
"87","11","84.00","64.00","75.86","298,345","69,319,103,708","913,694,077","15.10",
"87","12","83.50","68.00","75.19","178,270","37,419,178,370","497,596,787","8.22",
"說明:"
"本統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

