"100年05月 2330 台積電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數","註記",
"100/05/03","81,669,099","6,066,179,700","73.90","74.80","73.60","74.60","+1.40","19,824","",
"100/05/04","46,678,225","3,433,260,073","74.40","74.40","73.00","73.80","-0.80","10,039","",
"100/05/05","45,484,174","3,378,326,290","74.00","74.80","73.60","74.80","+1.00","11,504","",
"100/05/06","54,111,533","4,059,218,987","75.00","75.60","74.40","75.00","+0.20","14,830","",
"100/05/09","64,708,117","4,897,105,327","75.60","76.10","75.20","75.50","+0.50","11,734","",
"100/05/10","43,355,853","3,237,316,122","75.60","75.60","74.40","74.40","-1.10","9,744","",
"100/05/11","43,256,281","3,243,205,073","75.30","75.30","74.60","75.00","+0.60","8,555","",
"100/05/12","59,055,772","4,439,548,659","74.20","76.00","74.10","75.70","+0.70","13,621","",
"100/05/13","40,118,462","3,043,904,778","76.00","76.10","75.50","75.90","+0.20","9,913","",
"100/05/16","34,105,848","2,560,369,491","75.90","75.90","74.70","74.90","-1.00","6,607","",
"100/05/17","41,402,144","3,119,333,671","74.60","76.00","74.60","75.60","+0.70","10,167","",
"100/05/18","28,263,408","2,130,897,500","75.30","75.80","74.90","75.30","-0.30","6,393","",
"100/05/19","58,823,651","4,460,406,004","74.90","76.30","74.90","75.20","-0.10","10,381","",
"100/05/20","33,000,080","2,493,815,774","76.00","76.00","74.90","75.50","+0.30","6,934","",
"100/05/23","39,033,336","2,930,155,900","74.70","75.50","74.50","75.10","-0.40","7,808","",
"100/05/24","34,788,138","2,599,793,554","74.90","75.10","74.20","74.80","-0.30","7,252","",
"100/05/25","59,580,438","4,415,640,385","74.20","74.90","73.30","74.50","-0.30","11,539","",
"100/05/26","33,240,611","2,473,777,614","75.00","75.00","74.00","74.20","-0.30","6,184","",
"100/05/27","49,929,460","3,699,398,420","73.80","74.50","73.80","74.00","-0.20","8,290","",
"100/05/30","33,733,362","2,524,331,116","74.00","75.30","74.00","75.10","+1.10","7,159","",
"100/05/31","62,918,492","4,799,615,122","75.50","76.90","75.40","76.70","+1.60","14,707","",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"註記欄位有**者，表示該股票恢復買賣日價格因辦理變更面額因素與其最近一成交日價格有一定比例之轉換關係，或表示該ETF恢復買賣日價格因辦理分割或反分割作業因素與其最近一成交日價格有一定比例之轉換關係。"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

